,CGPA during in person studies,CGPA during online studies,in-person or an online environment,GPA change,GPA difference (in-person - online)
0,2.73,2.98,In-person,0.25,-0.25
1,3.6,3.88,Online,0.28,-0.2799999999999998
2,3.5,3.3,Online,0.2,0.20000000000000018
3,2.0,2.0,Online,0.5,0.0
4,3.463,3.492,Online,0.031,-0.028999999999999915
5,2.9,3.2,Online,0.3,-0.30000000000000027
6,2.3,2.7,Online,0.4,-0.40000000000000036
7,0.0,0.0,Online,0.3,-0.3
8,4.15,3.75,In-person,,0.40000000000000036
10,3.7,3.2,In-person,0.5,0.5
11,2.83,2.66,In-person,0.23,0.16999999999999993
12,3.04,3.1,Online,0.06,-0.06000000000000005
13,3.23,3.1,In-person,0.13,0.1299999999999999
14,2.5,2.5,Online,0.3,0.0
15,3.23,2.9,In-person,0.33,0.33000000000000007
16,3.45,3.12,In-person,0.33,0.33000000000000007
17,3.0,2.86,In-person,0.14,0.14000000000000012
18,3.11,2.9,In-person,0.21,0.20999999999999996
19,3.22,2.9,In-person,0.32,0.3200000000000003
20,2.9,2.53,In-person,0.37,0.3700000000000001
21,3.07,2.94,In-person,0.13,0.1299999999999999
22,2.88,3.04,Online,0.16,-0.16000000000000014
23,2.93,2.63,In-person,0.3,0.30000000000000027
24,2.97,2.67,In-person,0.37,0.30000000000000027
25,3.51,3.12,In-person,0.39,0.3899999999999997
26,2.5,2.7,Online,0.2,-0.20000000000000018
27,3.14,3.0,In-person,0.14,0.14000000000000012
28,3.19,2.83,In-person,0.36,0.3599999999999999
29,2.89,2.43,In-person,0.46,0.45999999999999996
30,0.0,0.0,In-person,0.29,0.29
31,0.0,0.0,In-person,0.22,0.22
32,2.77,3.04,Online,0.27,-0.27
33,3.0,3.04,Online,0.04,-0.040000000000000036
34,2.89,2.66,In-person,0.23,0.22999999999999998
35,2.9,2.8,In-person,0.1,0.10000000000000009
36,3.74,3.68,In-person,0.06,0.06000000000000005
37,4.0,4.1,Online,0.1,-0.09999999999999964
38,2.88,2.5,In-person,0.38,0.3799999999999999
39,3.77,3.8,Online,0.03,-0.029999999999999805
40,3.0,3.0,In-person,.,0.0
41,2.9,2.66,In-person,0.24,0.23999999999999977
42,3.08,2.97,In-person,0.12,0.10999999999999988
43,0.0,0.0,In-person,0.28,0.28
44,2.67,2.98,Online,0.31,-0.31000000000000005
45,3.02,3.1,Online,0.08,-0.08000000000000007
46,2.88,3.0,Online,0.12,-0.1200000000000001
47,0.0,0.0,In-person,0.3,0.3
48,3.22,3.5,Online,0.28,-0.2799999999999998
49,3.22,3.0,In-person,0.22,0.2200000000000002
50,3.83,4.0,Online,0.17,-0.16999999999999993
51,2.53,2.64,Online,0.11,-0.11000000000000032
52,3.21,2.9,In-person,0.31,0.31000000000000005
53,3.22,3.17,In-person,0.05,0.050000000000000266
